sale_id,sale_date,store_id,product_id,quantity
SALE000001,2024-12-06,ST073,P251,2
SALE000002,2024-06-18,ST003,P310,3
SALE000003,2024-08-13,ST054,P485,1
SALE000004,2025-08-15,ST077,P370,1
SALE000005,2023-11-12,ST084,P640,6
SALE000006,2024-01-20,ST074,P177,1
SALE000007,2024-02-19,ST075,P375,3
SALE000008,2025-08-17,ST081,P598,2
SALE000009,2025-06-15,ST019,P688,1
SALE000010,2025-03-01,ST032,P009,1
SALE000011,2024-11-10,ST090,P105,2
SALE000012,2024-12-11,ST003,P355,2
SALE000013,2025-08-30,ST054,P135,3
SALE000014,2025-01-19,ST027,P344,1
SALE000015,2023-09-29,ST100,P494,1
SALE000016,2024-01-03,ST061,P724,1
SALE000017,2025-04-25,ST095,P601,1
SALE000018,2025-08-30,ST091,P124,1
SALE000019,2024-09-21,ST072,P266,1
SALE000020,2024-05-07,ST085,P370,1
SALE000021,2025-05-18,ST049,P259,1
SALE000022,2024-12-20,ST023,P360,6
SALE000023,2024-10-04,ST044,P454,1
SALE000024,2024-11-13,ST087,P626,6
SALE000025,2024-04-19,ST079,P375,1
SALE000026,2025-03-16,ST036,P466,1
SALE000027,2025-05-14,ST029,P846,3
SALE000028,2025-02-13,ST099,P245,1
SALE000029,2025-08-19,ST089,P568,1
SALE000030,2024-09-24,ST041,P375,3
SALE000031,2024-11-02,ST093,P226,2
SALE000032,2025-06-27,ST016,P480,1
SALE000033,2023-10-11,ST070,P322,1
SALE000034,2025-06-04,ST051,P688,1
SALE000035,2024-12-17,ST099,P669,2
SALE000036,2023-10-28,ST038,P017,1
SALE000037,2025-05-31,ST092,P060,1
SALE000038,2024-03-10,ST057,P537,3
SALE000039,2025-03-18,ST062,P170,3
SALE000040,2025-08-09,ST035,P828,1
SALE000041,2023-10-15,ST090,P226,1
SALE000042,2025-01-31,ST014,P504,1
SALE000043,2024-02-26,ST076,P186,1
SALE000044,2024-04-15,ST007,P543,3
SALE000045,2024-01-05,ST029,P521,1
SALE000046,2025-06-16,ST013,P346,8
SALE000047,2025-02-16,ST061,P095,1
SALE000048,2025-06-25,ST099,P124,3
SALE000049,2023-09-26,ST021,P344,1
SALE000050,2024-11-02,ST061,P370,2
SALE000051,2024-02-19,ST026,P611,1
SALE000052,2024-01-16,ST037,P263,3
SALE000053,2024-07-02,ST008,P794,1
SALE000054,2024-07-11,ST084,P480,1
SALE000055,2024-04-27,ST069,P603,1
SALE000056,2024-04-29,ST005,P794,1
SALE000057,2024-06-26,ST054,P747,1
SALE000058,2024-01-12,ST023,P840,1
SALE000059,2024-12-08,ST051,P642,2
SALE000060,2024-05-24,ST096,P865,1
SALE000061,2024-11-01,ST038,P747,2
SALE000062,2025-03-31,ST002,P250,3
SALE000063,2024-12-22,ST014,P816,2
SALE000064,2024-03-09,ST043,P244,1
SALE000065,2025-05-13,ST083,P451,4
SALE000066,2025-02-16,ST018,P705,4
SALE000067,2025-03-15,ST035,P165,1
SALE000068,2024-08-17,ST015,P268,3
SALE000069,2024-05-03,ST059,P528,3
SALE000070,2023-10-15,ST024,P003,1
SALE000071,2025-08-05,ST044,P642,3
SALE000072,2025-05-05,ST087,P614,1
SALE000073,2025-06-15,ST079,P711,1
SALE000074,2023-11-21,ST052,P691,6
SALE000075,2025-05-28,ST042,P067,1
SALE000076,2024-10-07,ST086,P086,1
SALE000077,2023-09-07,ST018,P370,1
SALE000078,2023-10-14,ST032,P002,1
SALE000079,2025-05-01,ST050,P186,1
SALE000080,2023-12-08,ST097,P213,4
SALE000081,2024-02-29,ST039,P485,5
SALE000082,2025-05-29,ST002,P211,2
SALE000083,2024-03-22,ST089,P186,1
