claim_id,claim_date,sale_id,repair_status
CLAIM00001,2025-07-03,SALE001321,Completed
CLAIM00002,2024-05-12,SALE010698,In Progress
CLAIM00003,2025-08-08,SALE013405,Completed
CLAIM00004,2024-05-19,SALE013288,In Progress
CLAIM00005,2024-07-16,SALE010524,In Progress
CLAIM00006,2024-07-20,SALE003579,Completed
CLAIM00007,2024-01-20,SALE008702,Completed
CLAIM00008,2025-04-11,SALE002061,Completed
CLAIM00009,2025-06-11,SALE007654,In Progress
CLAIM00010,2024-01-11,SALE010099,Completed
CLAIM00011,2025-04-10,SALE006266,In Progress
CLAIM00012,2024-08-07,SALE000691,Completed
CLAIM00013,2025-01-09,SALE014691,Completed
CLAIM00014,2024-11-18,SALE013015,Completed
CLAIM00015,2024-10-29,SALE016986,Pending Parts
CLAIM00016,2025-06-05,SALE007559,Completed
CLAIM00017,2025-01-16,SALE004926,In Progress
CLAIM00018,2024-05-25,SALE018917,Completed
CLAIM00019,2025-06-03,SALE016614,Pending Parts
CLAIM00020,2024-03-14,SALE014548,In Progress
CLAIM00021,2024-11-13,SALE012605,Completed
CLAIM00022,2024-10-24,SALE017935,Completed
CLAIM00023,2025-06-13,SALE002814,Completed
CLAIM00024,2025-03-23,SALE014138,Completed
CLAIM00025,2025-07-20,SALE001095,Completed
CLAIM00026,2025-09-02,SALE011608,Replaced
CLAIM00027,2025-04-06,SALE002843,Replaced
CLAIM00028,2025-01-26,SALE019105,Completed
CLAIM00029,2024-07-06,SALE003385,Completed
CLAIM00030,2024-12-20,SALE015427,Completed
CLAIM00031,2024-03-19,SALE000244,In Progress
CLAIM00032,2024-06-26,SALE005248,Completed
CLAIM00033,2025-08-08,SALE008783,In Progress
CLAIM00034,2024-11-01,SALE006098,Completed
CLAIM00035,2025-09-05,SALE007791,In Progress
CLAIM00036,2024-03-20,SALE014017,Completed
CLAIM00037,2025-02-28,SALE007875,Completed
CLAIM00038,2024-05-06,SALE014465,In Progress
CLAIM00039,2024-12-26,SALE008204,Replaced
CLAIM00040,2024-10-01,SALE007046,Pending Parts
CLAIM00041,2025-01-18,SALE015156,Pending Parts
CLAIM00042,2025-07-14,SALE008172,Completed
CLAIM00043,2024-11-13,SALE017502,In Progress
CLAIM00044,2025-02-21,SALE001484,Completed
CLAIM00045,2024-12-12,SALE002208,Pending Parts
CLAIM00046,2024-12-30,SALE007139,Completed
CLAIM00047,2023-12-15,SALE002466,Pending Parts
CLAIM00048,2024-09-19,SALE017221,Completed
CLAIM00049,2024-09-01,SALE008612,Completed
CLAIM00050,2024-03-17,SALE006317,Completed
CLAIM00051,2025-06-24,SALE009413,In Progress
CLAIM00052,2025-08-22,SALE002460,In Progress
CLAIM00053,2025-05-09,SALE006175,In Progress
CLAIM00054,2025-07-28,SALE011288,In Progress
CLAIM00055,2025-06-06,SALE015780,Completed
CLAIM00056,2025-01-28,SALE003910,In Progress
CLAIM00057,2025-09-03,SALE014335,In Progress
CLAIM00058,2025-04-28,SALE018401,Completed
CLAIM00059,2025-09-01,SALE004683,Completed
CLAIM00060,2024-08-18,SALE013568,Completed
CLAIM00061,2025-03-19,SALE004075,In Progress
CLAIM00062,2025-08-09,SALE002143,In Progress
CLAIM00063,2025-02-22,SALE003561,In Progress
CLAIM00064,2024-11-25,SALE009403,In Progress
CLAIM00065,2025-04-02,SALE015115,Completed
CLAIM00066,2025-04-08,SALE012510,Completed
CLAIM00067,2024-06-08,SALE005590,In Progress
CLAIM00068,2024-10-12,SALE000825,Completed
CLAIM00069,2024-08-25,SALE014590,In Progress
CLAIM00070,2024-09-20,SALE006717,Completed
CLAIM00071,2024-06-19,SALE008367,In Progress
CLAIM00072,2024-06-06,SALE019936,Completed
CLAIM00073,2025-02-11,SALE017652,Completed
CLAIM00074,2024-06-19,SALE015778,Completed
CLAIM00075,2025-06-08,SALE007503,Completed
CLAIM00076,2025-04-19,SALE011266,Completed
CLAIM00077,2025-05-25,SALE010225,Completed
CLAIM00078,2023-12-23,SALE003967,Completed
CLAIM00079,2025-05-17,SALE009194,Completed
CLAIM00080,2025-08-30,SALE010605,Pending Parts
CLAIM00081,2024-11-19,SALE011436,Completed
CLAIM00082,2024-03-13,SALE013683,Completed
CLAIM00083,2024-08-31,SALE010005,Completed
CLAIM00084,2024-11-02,SALE014814,Completed
CLAIM00085,2025-04-26,SALE006357,Pending Parts
CLAIM00086,2023-12-31,SALE002105,Completed
CLAIM00087,2025-08-13,SALE003202,In Progress
CLAIM00088,2025-01-22,SALE012991,Completed
CLAIM00089,2024-12-12,SALE016773,Completed
CLAIM00090,2024-10-09,SALE017492,In Progress
CLAIM00091,2024-08-17,SALE010710,Replaced
CLAIM00092,2024-01-26,SALE019414,Pending Parts
CLAIM00093,2024-04-28,SALE005772,Pending Parts
CLAIM00094,2025-08-27,SALE013256,In Progress
CLAIM00095,2024-11-12,SALE013187,In Progress
CLAIM00096,2025-08-20,SALE007583,Pending Parts
CLAIM00097,2025-09-05,SALE015513,Completed
CLAIM00098,2025-01-15,SALE000618,Pending Parts
CLAIM00099,2025-09-03,SALE000453,Completed
CLAIM00100,2025-07-13,SALE017873,Completed
CLAIM00101,2023-12-14,SALE017128,Completed
CLAIM00102,2024-06-05,SALE019806,In Progress
CLAIM00103,2025-08-02,SALE008800,In Progress
CLAIM00104,2025-08-19,SALE007327,Completed
CLAIM00105,2024-12-20,SALE017984,In Progress
CLAIM00106,2025-08-11,SALE006369,In Progress
CLAIM00107,2025-08-05,SALE001486,Completed
CLAIM00108,2025-08-24,SALE004083,Completed
